
-17.780848, -63.101471
-17.780727, -63.101502
-17.780791, -63.101886
-17.780906, -63.102280
-17.780898, -63.102983
-17.780580, -63.102972
-17.780245, -63.102956
-17.779721, -63.102924
-17.779402, -63.102959
-17.779006, -63.103168
-17.778592, -63.103404
-17.778255, -63.103525
-17.777966, -63.103646
-17.777762, -63.103128
-17.777435, -63.103214
-17.777149, -63.103327
-17.776531, -63.103547
-17.775900, -63.103754
-17.775254, -63.103969
-17.774815, -63.104119
-17.774473, -63.104253
-17.774778, -63.105176
-17.775081, -63.105999
-17.775896, -63.105654
-17.776509, -63.105430
-17.777121, -63.105165
-17.777726, -63.104918
-17.778045, -63.104779
-17.778362, -63.104661
-17.778934, -63.104430
-17.779552, -63.104325
-17.780898, -63.104363
-17.781128, -63.104362
-17.781690, -63.104367
-17.781731, -63.105107
-17.781716, -63.107773
-17.780526, -63.107714
-17.780361, -63.107703
-17.778708, -63.107616
-17.777349, -63.107391
-17.777027, -63.107382
-17.775632, -63.107420
